name,period,mass
Qatar-6 b,3.506195,0.668
Qatar-7 b,2.032046,1.88
Qatar-8 b,3.71495,0.371
Qatar-9 b,1.540731,1.19
SWEEPS-11 b,1.796,9.7
SWEEPS-4 b,4.2,3.8
TIC 172900988 b,204.046,3.08752
TIC 237913194 b,15.168865,1.942
TIC 257060897 b,3.660028,0.67
TOI-1062 b,4.11296,0.03194
TOI-1064 b,6.443868,0.04248
TOI-1064 c,12.226574,0.00787
TOI-1107 b,4.0782387,3.35
TOI-1130 c,8.350381,0.974
TOI-1181 b,2.103195,1.18
TOI-1201 b,2.4919863,0.01976
TOI-1231 b,24.245586,0.04845
TOI-1235 b,3.444729,0.02174
TOI-1246 b,4.30744,0.02549
TOI-1246 c,5.904144,0.02769
TOI-1246 d,18.6559,0.01668
TOI-1246 e,37.9216,0.04657
TOI-125 b,4.65382,0.02989
TOI-125 c,9.15059,0.02086
TOI-125 d,19.98,0.04279
TOI-1259 A b,3.477978,0.441
TOI-1260 b,3.12748,0.02706
TOI-1260 c,7.49325,0.03713
TOI-1266 b,10.894879,0.05003
TOI-1266 c,18.80152,0.02014
TOI-1268 b,8.1577094,0.30331
TOI-1272 b,3.31599,0.0774
TOI-1278 b,14.47567,18.5
TOI-1296 b,3.9443715,0.298
TOI-1298 b,4.537164,0.356
TOI-132 b,2.1097019,0.07048
TOI-1333 b,4.720219,2.37
TOI-1338 b,95.174,0.10383
TOI-1422 b,12.9972,0.02832
TOI-1431 b,2.650237,3.12
TOI-1444 b,0.4702694,0.01218
TOI-1478 b,10.180249,0.851
TOI-150.01,5.857487,2.51
TOI-1516 b,2.056014,3.16
TOI-1518 b,1.902603,2.3
TOI-157 b,2.0845435,1.18
TOI-1601 b,5.331751,0.99
TOI-163 b,4.231306,1.22
TOI-1634 b,0.9893436,0.0319
TOI-1670 b,10.98462,0.13
TOI-1670 c,40.74976,0.63
TOI-1685 b,0.6691416,0.01079
TOI-169 b,2.2554477,0.791
TOI-1696 b,2.500311,0.15354
TOI-1710 b,24.283429,0.08904
TOI-172 b,9.47725,5.42
TOI-1728 b,3.49151,0.08426
TOI-1749 b,2.38839,0.17934
TOI-1749 c,4.4929,0.04405
TOI-1749 d,9.0497,0.0472
TOI-1759 b,18.85019,0.03398
TOI-178 b,1.914558,0.00472
TOI-178 c,3.23845,0.01501
TOI-178 d,6.5577,0.00947
TOI-178 e,9.961881,0.01214
TOI-178 f,15.231915,0.02429
TOI-178 g,20.7095,0.0124
TOI-1789 b,3.208664,0.7
TOI-1807 b,0.549374,0.00809
TOI-1842 b,9.5739,0.214
TOI-1899 b,29.02,0.66
TOI-201 b,52.97818,0.42
TOI-2046 b,1.4971842,2.3
TOI-2109 b,0.67247414,5.02
TOI-2136 b,7.851928,0.02004
TOI-216.01,34.556,0.62927
TOI-216.02,17.16073,0.059
TOI-2180 b,260.79,2.755
TOI-2184 b,6.90683,0.65
TOI-220 b,10.695264,0.04342
TOI-2202 b,11.9101,0.978
TOI-2202 c,24.6744,0.369
TOI-2285 b,27.26955,0.06135
TOI-2337 b,2.99432,1.6
TOI-251 b,4.93777,1
TOI-257 b,18.38818,0.138
TOI-2669 b,6.2034,0.61
TOI-269 b,3.6977104,0.02769
TOI-270 b,3.3601538,0.00497
TOI-270 c,5.6605731,0.01935
TOI-270 d,11.379573,0.01504
TOI-3362 b,18.09547,5.029
TOI-3629 b,3.936551,0.26
TOI-3714 b,2.154849,0.7
TOI-421 b,5.19672,0.02256
TOI-421 c,16.06819,0.05166
TOI-431 b,0.490047,0.00966
TOI-431 d,12.46103,0.03115
TOI-4329 b,2.9223,0.45
TOI-481 b,10.33111,1.53
TOI-500 b,0.548177,0.00447
TOI-5153 b,20.33003,3.26
TOI-519 b,1.2652328,14
TOI-530 b,6.387597,0.4
TOI-532 b,2.3266508,0.1935
TOI-558 b,14.574071,3.61
TOI-559 b,6.9839095,6.01
TOI-561 b,0.446578,0.005
TOI-561 c,10.779,0.01699
TOI-561 d,25.62,0.0376
TOI-561 e,77.23,0.05034
TOI-561 f,16.287,0.00944
TOI-564 b,1.651144,1.463
TOI-628 b,3.4095675,6.33
TOI-640 b,5.0037775,0.88
TOI-674 b,1.977143,0.07425
TOI-677 b,11.2366,1.236
TOI-763 b,5.6057,0.0308
TOI-763 c,12.2737,0.02932
TOI-776 b,8.24661,0.01259
TOI-776 c,15.6653,0.01668
TOI-824 b,1.392978,0.0581
TOI-837 b,8.3248762,1.2
TOI-849 b,0.76552414,0.12299
TOI-892 b,10.62656,0.95
TOI-905 b,3.739494,0.667
TOI-942 b,4.3263,0.05034
TOI-942 c,10.1605,0.11641
TOI-954 b,3.6849729,0.174
TRAPPIST-1 b,1.51087081,0.00267
TRAPPIST-1 c,2.421937,0.00412
TRAPPIST-1 d,4.04961,0.00129
TRAPPIST-1 e,6.101013,0.00218
TRAPPIST-1 f,9.20754,0.00327
TRAPPIST-1 g,12.35294,0.00422
TRAPPIST-1 h,18.772866,0.00103
TrES-1 b,3.0300728,0.761
TrES-2 b,2.47063,1.199
TrES-3 b,1.30619,1.92
TrES-4 b,3.55395,0.78
TrES-5 b,1.48224754,1.804
WASP-1 b,2.519961,0.86
WASP-10 b,3.1,3.2
WASP-100 b,2.84938,1.26
WASP-101 b,3.585722,0.497
WASP-103 b,0.9255456,1.455
WASP-104 b,1.7554137,1.268
WASP-105 b,7.87288,1.8
WASP-106 b,9.289715,1.909
WASP-107 b,5.72149242,0.119
WASP-11 b,3.72247967,0.492
WASP-110 b,3.77840121,0.51
WASP-113 b,4.54216875,0.475
WASP-114 b,1.5487743,1.769
WASP-117 b,10.02165,0.2755
WASP-118 b,4.0460435,0.514
WASP-119 b,2.49979,1.23
WASP-12 b,1.091423,1.41
WASP-120 b,3.6112706,4.85
WASP-121 b,1.2749255,1.183
WASP-123 b,2.9776412,0.899
WASP-124 b,3.37265,0.6
WASP-126 b,3.28883,0.28411
WASP-126 c,7.63,0.20199
WASP-127 b,4.17806203,0.1647
WASP-129 b,5.748145,1
WASP-13 b,4.3530135,0.5
WASP-130 b,11.55098,1.23
WASP-131 b,5.322023,0.27
WASP-132 b,7.133521,0.41
WASP-132 c,1.011534,0.11752
WASP-133 b,2.176423,1.16
WASP-135 b,1.4013794,1.9
WASP-136 b,5.215357,1.51
WASP-138 b,3.634433,1.22
WASP-139 b,5.924262,0.117
WASP-14 b,2.2437661,7.22
WASP-140 b,2.2359835,2.44
WASP-141 b,3.310651,2.69
WASP-142 b,2.052868,0.84
WASP-144 b,2.2783152,0.44
WASP-145 A b,1.7690381,0.89
WASP-147 b,4.60273,0.275
WASP-148 b,8.80381,0.291
WASP-15 b,3.7521,0.54
WASP-150 b,5.644207,8.46
WASP-151 b,4.5334775,0.316
WASP-153 b,3.332609,0.39
WASP-156 b,3.836169,0.128
WASP-157 b,3.9516205,0.574
WASP-158 b,3.656333,2.79
WASP-159 b,3.840401,0.55
WASP-16 b,3.1186068,0.832
WASP-160 B b,3.7684952,0.278
WASP-161 b,5.4060425,2.49
WASP-162 b,9.62468,5.2
WASP-163 b,1.6096884,1.87
WASP-164 b,1.7771255,2.13
WASP-165 b,3.465509,0.658
WASP-166 b,5.44354,0.101
WASP-167 b,2.0219596,8
WASP-168 b,4.153658,0.42
WASP-169 b,5.6114118,0.561
WASP-17 b,3.7354845,0.477
WASP-170 b,2.34478022,1.6
WASP-171 b,3.8186244,1.084
WASP-172 b,5.477433,0.47
WASP-173 A b,1.38665318,3.69
WASP-174 b,4.2337005,0.33
WASP-175 b,3.0652907,0.99
WASP-176 b,3.899052,0.855
WASP-177 b,3.071722,0.508
WASP-178 b,3.3448412,1.41
WASP-18 b,0.94145299,10.43
WASP-18 c,2.1558,0.17368
WASP-180 A b,3.409264,0.9
WASP-181 b,4.5195064,0.299
WASP-182 b,3.3769848,0.148
WASP-183 b,4.1117771,0.502
WASP-184 b,5.1817,0.57
WASP-185 b,9.38755,0.98
WASP-186 b,5.026799,4.22
WASP-187 b,5.147878,0.8
WASP-189 b,2.724033,1.99
WASP-19 b,0.79,1.14
WASP-190 b,5.367753,1
WASP-192 b,2.8786765,2.3
WASP-2 b,2.15226,0.914
WASP-20 b,4.8996284,0.311
WASP-21 b,4.3225126,0.297
WASP-22 b,3.5327313,0.57
WASP-23 b,2.94443,0.879
WASP-24 b,2.3412217,1.06
WASP-25 b,3.7648327,0.574
WASP-26 b,2.7566004,1.028
WASP-28 b,3.40884,0.899
WASP-29 b,3.92273,0.23
WASP-3 b,1.8468373,1.76
WASP-31 b,3.4059096,0.478
WASP-32 b,2.71866,2.63
WASP-33 b,1.21987016,3.28
WASP-34 b,4.31768,0.56
WASP-35 b,3.16158,0.71
WASP-36 b,1.53736596,2.361
WASP-37 b,3.577469,1.72
WASP-38 b,6.9,2.7
WASP-39 b,4.06,0.28
WASP-4 b,1.33823251,1.216
WASP-41 b,3.052404,0.94
WASP-42 b,4.9816872,0.5
WASP-43 b,0.813475,1.78
WASP-44 b,2.4238133,0.878
WASP-45 b,3.126096,1.002
WASP-46 b,1.43037,1.9
WASP-47 b,4.16071,1.21
WASP-47 d,9.095,0.05286
WASP-47 e,0.79,0.02174
WASP-48 b,2.14363592,0.984
WASP-49 b,2.78174,0.37
WASP-5 b,1.62843142,1.568
WASP-50 b,1.9551,1.4688
WASP-52 b,1.7497835,0.459
WASP-53 b,3.3098443,2.132
WASP-54 b,3.6936411,0.606
WASP-55 b,4.465633,0.57
WASP-56 b,4.617101,0.571
WASP-57 b,2.838971,0.672
WASP-58 b,5.01718,0.89
WASP-59 b,7.919585,0.857
WASP-6 b,3.36101,0.37
WASP-60 b,4.305004,0.56
WASP-61 b,3.8559,2.05
WASP-62 b,4.411953,0.568
WASP-63 b,4.37809,0.339
WASP-64 b,1.5732918,1.221
WASP-65 b,2.3114243,1.54
WASP-66 b,4.086052,2.32
WASP-67 b,4.61442,0.42
WASP-68 b,5.0843,1.08
WASP-69 b,3.86814,0.29
WASP-7 b,4.95466,1.25
WASP-70 A b,3.7130203,0.59
WASP-71 b,2.9036747,2.222
WASP-72 b,2.2167421,1.446
WASP-73 b,4.08722,1.879
WASP-74 b,2.13775,0.72
WASP-75 b,2.484193,1.07
WASP-76 b,1.809886,0.92
WASP-77 A b,1.4,1.8
WASP-78 b,2.17518,1.11
WASP-79 b,3.662392,0.85
WASP-8 b,8.2,2.2
WASP-80 b,3.1,0.55
WASP-81 b,2.7164762,0.729
WASP-82 b,2.70579,1.17
WASP-83 b,4.971252,0.3
WASP-84 b,8.5234962,0.687
WASP-85 A b,2.6556777,1.265
WASP-87 b,1.682795,2.18
WASP-88 b,4.954,0.42
WASP-89 b,3.3564227,5.8
WASP-90 b,3.916243,0.63
WASP-91 b,2.798581,1.34
WASP-92 b,2.1746742,0.805
WASP-93 b,2.7325321,1.47
WASP-94 A b,3.9501907,0.452
WASP-95 b,2.184673,1.13
WASP-96 b,3.4252602,0.48
WASP-97 b,2.07276,1.32
WASP-98 b,2.96264036,0.922
WASP-99 b,5.75251,2.43
WD 1856+534 b,1.4079405,13.8
Wendelstein-1 b,2.663416,0.592
Wendelstein-2 b,1.7522239,0.731
Wolf 503 b,6.00127,0.0197
WTS-1 b,3.352057,4.01
WTS-2 b,1.0187068,1.12
XO-1 b,3.941534,0.9
XO-2 N b,2.615864,0.555
XO-3 b,3.1915426,13.25
XO-4 b,4.1250828,1.547
XO-5 b,4.18776,1.044
XO-6 b,3.7650007,4.4
XO-7 b,2.8641424,0.709
